type,amount,to,from,tokenName,txn_hash,status,createdAt,clientFee,_id
Deposit,14922538,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,0x48ff4022c6dfbfebbbb76b0f3800880ca0ad2e53,usdc,0x38430fb2c6b3b74b6c51c91240b1370400d5635094abc04ba42eecf2f2bfacf9,confirmed,2022-04-19T05:24:21.491Z,0,625e47855c85ec0023b1eeb4
Withdrawal,15000000,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-19T05:20:07.621Z,0,625e46875c85ec0023b1581f
Deposit,9945027,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,0x48ff4022c6dfbfebbbb76b0f3800880ca0ad2e53,usdc,0xecd9ad6073ce0e2bc71b17e496b63f63289a728ed21efe7790baa55e34456df9,confirmed,2022-04-19T00:21:07.012Z,0,625e00735c85ec00239beb88
Withdrawal,25000000,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-19T00:12:51.716Z,0,625dfe835435a5002234c752
Deposit,19890054,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,0x48ff4022c6dfbfebbbb76b0f3800880ca0ad2e53,usdc,0x1b4668e7ee85f05e9a6d5f5da78606fa559afc19cb3867a8645ebaa611e4bc37,confirmed,2022-04-18T23:57:41.912Z,0,625dfaf55435a50022336c77
Withdrawal,7500000,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-18T23:54:26.393Z,0,625dfa325435a500223362b2
Internal Transfer,4977511,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,0x48ff4022c6dfbfebbbb76b0f3800880ca0ad2e53,usdc,0xbf0332ae8bd0b52d63e47d2836e5619824670c8c3209870a6abedad9cbc71ccd,confirmed,2022-04-18T23:07:46.275Z,102.512,625def425c85ec002396d509
Withdrawal,5000000,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-18T23:05:00.079Z,0,625dee9c5c85ec002396c643
Withdrawal,3000000,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-18T19:51:39.629Z,0,625dc14b5435a50022223c3b
Withdrawal,5000000,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-18T17:22:21.993Z,0,625d9e4d5435a5002217cfe3
Withdrawal,10000,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-18T17:05:21.266Z,0,625d9a515c85ec00237d8d78
Withdrawal,5000000,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-18T17:01:16.295Z,0,625d995c5435a50022162480
Deposit,24867566,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,0x48ff4022c6dfbfebbbb76b0f3800880ca0ad2e53,usdc,0xacc48a2668faed5e8f64f5db5e80468b52c285c953afdb46af3f7d921eb9bf31,confirmed,2022-04-18T17:00:05.265Z,0,625d99158701960209478d93
Withdrawal,5000000,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-18T16:59:58.698Z,0,625d990e5435a5002215ebc9
Withdrawal,5000000,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-18T16:59:47.128Z,0,625d99035435a5002215eae9
Interest Payout,77466,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-17T23:20:06.506Z,0,625ca0a69f1bca01f3f14a3e
Withdrawal,3710000,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-16T19:17:11.067Z,0,625b16375c85ec0023bc3442
